video_name,text,Neutral,Anger,Disgust,Fear,Happiness,Sadness,Surprise,Other
000046280___Angry_0000.avi,"The dimly lit room casts a somber atmosphere, suggesting a serious or tense mood. The individual's face shows a mix of concern and apprehension; their eyes are wide and focused, eyebrows slightly furrowed, and lips parted as if caught mid-speech, indicating they might be explaining something important or reacting to a critical situation. There is a hint of tension in their posture, though the exact body language is not fully discernible due to the close-up shot. The overall expression suggests a blend of worry and determination, possibly reflecting a moment of decision or revelation.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000223480___Angry_0000.avi,"The dimly lit room with a bottle of wine and a glass on the bedside table suggests a private, possibly introspective setting that might enhance feelings of sadness or contemplation. The person's wide-open mouth and furrowed brows indicate a strong emotional reaction, likely surprise or shock, as they appear to be yelling or reacting to something unexpected. Their body posture, leaning forward slightly, and the tension in their face suggest a heightened state of alertness or distress. As the scene progresses, there is no significant change in their expression, indicating a sustained emotional state rather than a transition between emotions. The overall impression is one of intense surprise or shock, with no clear indication of other emotions like joy, sadness, anger, fear, disgust, or neutrality.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000429620___Angry_0000.avi,"The dimly lit room with its vintage furniture and patterned curtains creates a somewhat somber atmosphere, possibly reflecting the character's internal state. The person appears to be in a state of surprise or shock, indicated by wide eyes and slightly parted lips, suggesting they have just witnessed something unexpected. Their body remains still, and there are no noticeable gestures or head movements that would suggest further engagement or reaction, implying a moment of stunned silence. The overall scene and the person's facial expression convey a sense of sudden realization or astonishment, with no clear indication of other emotions at this moment.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000450454___Angry_0000.avi,"The individual appears to be in a professional setting, possibly an office hallway, indicated by the glass doors and the presence of other people in the background. The person's body posture is tense, with shoulders slightly hunched forward, suggesting a sense of anxiety or unease. Their eyes are wide open, and their eyebrows are raised, indicating surprise or shock. The mouth is slightly agape, further emphasizing the element of surprise. As the camera moves closer, the individual's expression intensifies, with the eyes narrowing and the mouth opening wider, suggesting a heightened state of alarm or fear. The overall scene, combined with the person's nonverbal behaviors, reflects a strong emotional state of surprise and fear, with no clear indication of other emotions at this moment.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000505440___Angry_0000.avi,"The individual appears to be in a park-like setting with trees and grass in the background, suggesting a calm outdoor environment that might contrast with their intense expression. Their mouth is open wide, revealing teeth, and their eyes are focused upwards, indicating a state of surprise or shock. The slight tension in their jaw and the direct gaze suggest they are reacting to something unexpected or startling. There is no clear indication of other emotions like joy, sadness, anger, fear, disgust, or neutrality; the expression is predominantly one of surprise, with no signs of transition or ambiguity. The overall impression is that the person is caught off guard by an event or stimulus in their immediate surroundings.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000550480___Angry_0000.avi,"The dimly lit room with its industrial background and hanging wires creates a tense atmosphere, suggesting a serious or potentially confrontational interaction. The man on the left, wearing glasses and a dark suit, has his mouth open mid-speech, indicating he is actively speaking or explaining something important. His eyebrows are slightly furrowed, hinting at concentration or concern. His hand gestures are expressive, moving from his chest outward, which could suggest he is emphasizing a point or making a plea. The man on the right, dressed in a lighter blue suit, appears to be listening intently, with his head slightly tilted forward, showing engagement. There is no clear indication of strong emotions like joy or anger; instead, the overall body language suggests a mix of seriousness and possibly some underlying tension or uncertainty. The scene does not show any significant changes in their expressions or gestures, maintaining a consistent tone throughout the clip.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000746734___Angry_0000.avi,"The dimly lit room with its metal bars creates a sense of confinement and tension, reflecting the character's likely feelings of anxiety or fear. The person's eyes are wide and focused, suggesting alertness or worry, while their mouth remains closed, indicating a lack of expression that could mask underlying emotions. The slight tilt of their head and the steady gaze through the bars imply a sense of determination or perhaps resignation. As the camera moves closer, the intensity of their focus increases, hinting at a growing sense of urgency or concern. There are no clear signs of joy, sadness, anger, disgust, or surprise, leaving the emotional state ambiguous but leaning towards a mix of anxiety and determination.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000746734___Angry_0001.avi,"The dimly lit room with its shadowy ambiance suggests a sense of unease or contemplation, possibly hinting at sadness or fear. Harry Potter, wearing his signature round glasses, gazes intently through the bars of a cage-like structure, his eyes wide and slightly teary, indicating a mix of concern and perhaps a hint of sadness or worry. His posture remains still, suggesting he is deeply focused on something beyond the frame, and there are no significant gestures or head movements that would suggest anger or joy. The overall scene evokes a feeling of isolation and introspection, with no clear indication of surprise or disgust. The emotion appears to be predominantly neutral with undertones of sadness and contemplation.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000800760___Angry_0000.avi,"The dimly lit room casts a somber ambiance that complements the woman's slightly furrowed brow and her mouth forming a neutral expression, suggesting she might be in a state of contemplation or mild concern. Her eyes, though partially closed, seem to convey a sense of weariness or perhaps even sadness. As she turns her head slightly, her gaze shifts, indicating a change in focus or attention, which could imply she is reacting to something off-camera. The overall impression is one of subdued emotion, possibly tinged with melancholy or introspection, as there are no clear signs of strong positive or negative feelings.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000846120___Angry_0000.avi,"The dimly lit room creates a somber atmosphere, suggesting a serious or tense conversation. The man and woman stand close, their hands clasped, indicating a moment of connection or conflict. The woman's eyes are slightly narrowed, and her mouth is set in a firm line, hinting at concern or determination. Her head tilts slightly forward, showing engagement but also a hint of apprehension. The man's posture is relaxed yet attentive, his gaze fixed on the woman, suggesting he is listening intently or trying to understand her stance. As they hold hands, there's a subtle tension in their body language that could indicate a mix of worry and resolve, possibly reflecting a moment of emotional complexity where both parties are grappling with a significant issue.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
000947327___Angry_0000.avi,"The man in the pinstripe suit appears to be engaged in a serious conversation, his eyes focused intently on the person across from him, suggesting attentiveness and perhaps concern. His slightly furrowed brow and the slight tension in his jaw indicate he might be experiencing some stress or worry. The background, though blurred, seems to be an office setting, which could imply a professional or formal interaction. There are no significant changes in his posture or gestures throughout the clip, maintaining a steady and composed demeanor that suggests he is trying to remain calm despite the potentially tense situation. The overall impression is one of a neutral to slightly anxious emotional state, with no clear signs of joy, sadness, anger, fear, disgust, or surprise.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
001419640___Angry_0000.avi,"The dimly lit, rustic setting with stone walls and wooden beams creates a tense atmosphere, suggesting fear or anxiety. The individual's furrowed brow and tightly closed eyes indicate intense concentration or distress, while their slightly open mouth reveals a gasp or strained breathing, hinting at fear or shock. The slight forward lean of the body suggests a defensive posture, reinforcing the sense of unease. As the scene progresses, there is a subtle shift in the individual's expression; the eyes widen further, and the mouth opens wider, possibly indicating a crescendo of fear or a reaction to a sudden threat. The overall impression is one of heightened emotional intensity, likely fear or panic, with no clear signs of other emotions present.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
001454480___Angry_0000.avi,"The dimly lit room casts shadows that accentuate the man's tense expression, suggesting a sense of unease or fear. His furrowed brows and slightly parted lips indicate he might be experiencing surprise or concern, while his steady gaze suggests he is focused on something off-camera. As the scene progresses, there is a subtle shift in his jawline tension, hinting at a growing sense of anger or determination. The overall atmosphere, combined with his evolving facial expressions, paints a picture of someone caught in a moment of intense emotional turmoil, possibly transitioning from surprise to anger or frustration.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
001549894___Angry_0000.avi,"The dimly lit, rustic setting with wooden stairs and a hanging light bulb creates a tense atmosphere, possibly hinting at fear or anxiety. The woman's wide eyes and slightly open mouth suggest surprise or shock, while her furrowed brow indicates concern or worry. Her head tilts back slightly, and her shoulders are tense, reflecting a state of unease or fear. As she looks upwards, her expression intensifies, suggesting that whatever has caught her attention is significant enough to evoke strong emotions. There is no clear indication of joy, sadness, anger, disgust, or neutrality; instead, the scene and her body language point towards a complex mix of surprise and fear, with a potential for escalation in her emotional state.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
001809774___Angry_0000.avi,"The dimly lit corridor with its ornate wooden walls creates a tense atmosphere, suggesting a sense of foreboding or anxiety. The person in the foreground, dressed in a fur-lined cloak and a pointed hat, maintains a neutral expression with slightly furrowed brows and a steady gaze forward, indicating a focused or perhaps apprehensive state. Their body posture is upright but tense, hinting at readiness for action or alertness to potential danger. As they walk, their head remains level, reinforcing a composed yet vigilant demeanor. In the background, another individual in lighter attire appears to be moving quickly, possibly adding to the overall sense of urgency or unease in the scene. The environment and the person's nonverbal behaviors collectively suggest a mix of tension and cautious anticipation, with no clear indication of strong positive or negative emotions.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
001940720___Angry_0000.avi,"The dimly lit, shadowy environment suggests a tense or mysterious atmosphere, possibly influencing a sense of unease or fear. The person's facial expression shows a mix of surprise and concern; their eyes widen slightly, eyebrows raise, and mouth opens in a way that indicates they are reacting to something unexpected. The body posture leans forward, suggesting alertness or readiness to respond, while the head turns slightly, indicating attentiveness to the source of the surprise. As the scene progresses, there is a subtle shift in the person's gaze, hinting at a transition from initial shock to a more focused reaction, possibly indicating a progression from fear to determination or curiosity. The overall impression is one of a moment caught between surprise and a growing sense of engagement with the situation.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
001943720___Angry_0000.avi,"The bustling city street with pedestrians and parked cars in the background suggests a busy urban environment that might contribute to stress or urgency. The man in the foreground, dressed in a suit, appears agitated; his wide-open mouth and furrowed brow indicate he is shouting or yelling, likely expressing anger or frustration. His clenched fists and tense posture further emphasize his emotional state, suggesting he is reacting to a significant and possibly stressful event. As the camera focuses on him, his intense expression and body language remain consistent throughout the frames, reinforcing the impression of a strong, unchanging emotional response. There are no signs of mixed emotions or ambiguity in his demeanor during this sequence.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
002014840___Angry_0000.avi,"The individual stands in a dimly lit corridor with a grid pattern on the wall behind them, creating a somewhat sterile and isolated atmosphere that might contribute to a sense of unease or contemplation. Their facial expression appears tense, with furrowed brows suggesting concern or worry, while their mouth is slightly open as if they are about to speak or have just finished speaking, indicating a moment of communication or reaction. The body posture is upright but rigid, hinting at alertness or readiness for action. There is a subtle shift in their gaze from looking directly ahead to slightly to the side, which could imply a reaction to something off-camera or a change in focus. Overall, the scene and the person's nonverbal behaviors suggest a mix of tension and anticipation, possibly reflecting a moment of suspense or preparation for an event.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
002137000___Angry_0000.avi,"The individual appears to be in a dimly lit hallway with a door and a window in the background, suggesting a private or residential setting. They are holding a phone to their ear, indicating they are engaged in a conversation. Their facial expression shows raised eyebrows and an open mouth, which could suggest surprise or concern. As they gesture with their free hand, their body language seems animated, possibly reflecting frustration or urgency. The overall tone of their movements and expressions suggests a mix of surprise and mild anger, as they seem to be reacting to something unexpected during the call. The scene does not provide enough context to determine if this is a positive or negative surprise, but the body language leans towards a more negative reaction.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
002338014___Angry_0000.avi,"The dimly lit bedroom with muted colors and minimal decor creates a subdued atmosphere that might suggest a calm or introspective mood. The woman appears slightly tense, her shoulders hunched and her gaze directed downward, indicating she might be feeling apprehensive or worried. As she moves, her quick, almost hurried steps and the way she clutches her belongings suggest she could be experiencing fear or anxiety, perhaps preparing to leave quickly. Her facial expression remains mostly neutral but shows subtle signs of concern, with her eyebrows slightly furrowed and her mouth set in a firm line. As she turns to walk away, her body language shifts from tense to more relaxed, hinting at a possible transition from fear to relief or determination. The overall scene suggests a mix of anxiety and resolve, with the woman navigating through a moment of uncertainty.",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
